НАСЕЛЕНИЕ, ПОТРЕБЛЯЮЩЕЕ ЕЖЕДНЕВНО НЕ МЕНЕЕ 400 ГРАММОВ ОВОЩЕЙ И ФРУКТОВ (проценты);;;;;;
;Все население;;Городское население;;Сельское население;
;Мужчины;Женщины;Мужчины;Женщины;Мужчины;Женщины
Иркутская область;     4,09;     3,48;     2,80;     1,78;     9,27;     10,74
Кемеровская область;     10,56;     9,50;     11,22;     10,30;     6,50;     4,25
Новосибирская область;     4,90;     4,31;     4,90;     3,89;     4,90;     5,83
Омская область;     6,96;     8,39;     6,25;     8,57;     9,12;     7,87
Томская область;     9,27;     10,59;     11,92;     14,71;     1,64;     0,00
Дальневосточный федеральный округ;     6,04;     7,23;     5,97;     6,80;     6,23;     8,51
Республика Бурятия;     9,00;     7,06;     9,83;     5,04;     7,95;     10,17
Республика Саха (Якутия);     7,65;     7,19;     9,36;     9,16;     3,56;     2,96
Забайкальский край;     10,06;     7,97;     11,55;     7,00;     7,36;     10,18
Камчатский край;     9,60;     10,55;     8,96;     9,41;     12,13;     14,85
Приморский край;     2,17;     4,28;     2,66;     3,85;     0,53;     5,86
Хабаровский край;     3,56;     5,38;     2,45;     5,51;     8,58;     4,74
Амурская область;     6,77;     8,29;     7,86;     10,40;     4,19;     3,19
Магаданская область;     0,00;     3,24;     0,00;     2,75;     0,00;     14,56
Сахалинская область;     10,06;     17,99;     6,14;     13,17;     24,09;     39,22
Еврейская автономная область;     8,17;     14,77;     9,89;     15,23;     4,66;     13,56
Чукотский автономный округ;     1,66;     0,61;     0,00;     0,00;     5,70;     2,28
;;;;;;
